,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Buraidah,26.326,43.975,84.65,11,68,3.53,SA,1658377523
281,Hamza,40.4264,71.4956,93.15,11,0,3.33,UZ,1658377524
282,Bonavista,48.6499,-53.1147,59.25,93,100,20.74,CA,1658377524
283,Kamiiso,41.8167,140.65,75.58,83,20,8.05,JP,1658377524
284,Isangel,-19.55,169.2667,79.84,70,95,9.57,VU,1658377525
285,Nísia Floresta,-6.0911,-35.2086,75.58,95,95,5.41,BR,1658377525
286,Faanui,-16.4833,-151.75,77.86,72,10,13.33,PF,1658377525
287,Half Moon Bay,37.4636,-122.4286,64.54,83,100,14.97,US,1658377526
288,Newport,51.5877,-2.9984,62.02,77,85,5.64,GB,1658377237
289,Ginir,7.1333,40.7,55.9,84,98,6.44,ET,1658377526
290,Jūnāgarh,19.8667,82.9333,80.01,81,100,5.03,IN,1658377527
291,Horta,38.5333,-28.6333,71.62,86,7,3.4,PT,1658377527
292,Rocha,-34.4833,-54.3333,59.5,95,56,10.04,UY,1658377527
293,Namtsy,62.7161,129.6658,83.41,49,99,7.78,RU,1658377528
294,Cukai,4.25,103.4167,87.75,63,97,4.92,MY,1658377528
295,Chui,-33.6971,-53.4616,58.03,98,75,7.7,UY,1658376975
296,Rāmhormoz,31.28,49.6035,93.88,45,0,8.16,IR,1658377529
297,Arman',59.7,150.1667,79.02,71,34,5.59,RU,1658377529
298,Taveta,-3.3963,37.6736,61.74,82,52,7.18,KE,1658377529
299,Kango,0.1943,10.0951,72.57,88,100,2.51,GA,1658377530
300,Dingle,10.9995,122.6711,87.66,67,100,4.34,PH,1658377530
301,Churapcha,62.0025,132.4325,84.27,43,100,12.03,RU,1658377530
302,Necochea,-38.5473,-58.7368,54.9,61,5,17.74,AR,1658377531
303,Ilulissat,69.2167,-51.1,48.22,66,100,3.44,GL,1658377531
304,Arrifes,37.7667,-25.7,73.24,94,40,2.3,PT,1658377531
305,Nueva Loja,0.0847,-76.8828,67.57,99,100,2.17,EC,1658377532
306,Agudos,-22.4692,-48.9875,64.15,84,0,7.05,BR,1658377532
307,Rabo de Peixe,37.8,-25.5833,74.28,68,40,2.3,PT,1658377532
308,Keetmanshoop,-26.5833,18.1333,49.8,53,2,4.54,NA,1658377533
309,Almazar,40.3217,69.0106,93.25,14,0,6.38,UZ,1658377533
310,Airai,-8.9266,125.4092,71.26,59,60,3.62,TL,1658377468
311,Clyde River,70.4692,-68.5914,35.83,100,100,14.97,CA,1658377472
312,Tiksi,71.6872,128.8694,42.33,78,17,21.63,RU,1658377534
313,Tessalit,20.1986,1.0114,80.4,51,58,15.19,ML,1658377534
314,Sola,-13.8833,167.55,81.14,79,15,17.92,VU,1658377534
315,Klaksvík,62.2266,-6.589,49.12,91,79,17.74,FO,1658377535
316,Kuytun,54.3419,101.5036,71.4,50,73,8.48,RU,1658377535
317,Pacora,9.0833,-79.2833,76.17,90,40,4.61,PA,1658377535
318,Ostashkov,57.1467,33.1075,60.01,88,69,11.1,RU,1658377536
319,Natá,8.3333,-80.5167,76.15,94,100,5.26,PA,1658377536
320,Hamilton,39.1834,-84.5333,80.67,89,0,1.99,US,1658377536
321,Senneterre,48.3835,-77.2328,66.99,98,100,10.49,CA,1658377537
322,Vanimo,-2.6741,141.3028,86.77,64,56,10.74,PG,1658377538
323,Hede,33.7681,120.2517,81.95,69,81,2.8,CN,1658377538
324,Royan,45.6285,-1.0281,65.79,73,86,3.42,FR,1658377539
325,Al Bardīyah,31.7561,25.0865,73.74,68,0,10.11,LY,1658377539
326,Madang,-5.2246,145.7966,84.65,64,93,5.46,PG,1658377540
327,Viesca,25.35,-102.8,89.98,26,6,9.93,MX,1658377540
328,Örnsköldsvik,63.2909,18.7153,56.35,100,100,2.3,SE,1658377459
329,Andijan,40.7821,72.3442,88.88,9,0,1.86,UZ,1658377542
330,Sterlitamak,53.6246,55.9502,63.46,70,100,5.3,RU,1658377543
331,Ternate,0.8,127.4,82.67,75,96,4.97,ID,1658377543
332,Codrington,-38.2667,141.9667,59.61,56,4,8.66,AU,1658377528
333,Kouango,4.9934,19.9619,69.55,98,94,1.68,CF,1658377544
334,Algiers,36.7525,3.042,66.02,88,20,2.3,DZ,1658377282
335,Oga,46.4631,10.347,61.68,82,76,1.01,IT,1658377545
336,Vidim,56.4088,103.1106,72.82,44,25,4.32,RU,1658377545
337,San Juan,-31.5375,-68.5364,54.91,25,0,3.49,AR,1658377546
338,Mikrópolis,41.1935,23.8157,63.1,51,0,5.68,GR,1658377546
339,Saint Simons,31.1352,-81.3901,78.84,91,0,9.22,US,1658377547
340,Grand Gaube,-20.0064,57.6608,71.38,66,89,8.99,MU,1658377548
341,Ashland,40.8167,-82.2665,73.96,93,0,8.99,US,1658377326
342,Kristinehamn,59.3098,14.1081,64.96,64,84,6.29,SE,1658377549
343,Patacamaya,-17.2333,-67.9167,42.71,43,8,5.77,BO,1658377549
344,Bo Phloi,14.3236,99.5161,75.31,82,100,2.82,TH,1658377549
345,Avera,33.194,-82.5271,77.05,79,100,10.4,US,1658377550
346,Inuvik,68.3499,-133.7218,63.46,63,75,4.61,CA,1658377550
347,Alofi,-19.0595,-169.9187,76.89,69,1,13.8,NU,1658377551
348,Navalmoral de la Mata,39.8916,-5.5406,80.96,22,0,3.71,ES,1658377552
349,Chulym,55.0997,80.9572,66.72,76,98,9.82,RU,1658377552
350,Brae,60.3964,-1.353,52.84,77,97,17.65,GB,1658377553
351,Hofn,64.2539,-15.2082,51.94,80,50,5.17,IS,1658377554
352,Mehamn,71.0357,27.8492,60.75,82,0,8.05,NO,1658377554
353,Prabumulih,-3.45,104.25,87.01,59,44,5.88,ID,1658377555
354,Narón,43.5167,-8.1528,67.05,87,71,10.56,ES,1658377555
355,Cururupu,-1.8283,-44.8683,72.63,95,35,2.33,BR,1658377556
356,Kunda,25.7167,81.5167,85.5,75,100,1.12,IN,1658377339
357,Khasan,42.4308,130.6434,68.02,98,100,5.39,RU,1658377557
